July 2023 Global Gridded Temperature Anomalies (Degrees Celsius)
Base Period: 1991-2020
Missing: -999.00
Latitude,Longitude,Anomaly
22.5S,127.5E,-0.38
22.5S,132.5E,0.02
22.5S,137.5E,0.58
22.5S,142.5E,0.20
22.5S,147.5E,1.19
22.5S,152.5E,0.77
22.5S,157.5E,0.54
22.5S,162.5E,0.43
22.5S,167.5E,0.35
22.5S,172.5E,0.38
22.5S,177.5E,0.45
22.5S,177.5W,0.36
22.5S,172.5W,0.39
22.5S,167.5W,0.37
22.5S,162.5W,0.36
22.5S,157.5W,0.32
22.5S,152.5W,0.44
22.5S,147.5W,0.41
22.5S,142.5W,0.30
22.5S,137.5W,0.21
22.5S,132.5W,0.16
22.5S,127.5W,0.12
22.5S,122.5W,0.13
22.5S,117.5W,0.23
22.5S,112.5W,0.38
22.5S,107.5W,0.52
22.5S,102.5W,0.65
22.5S,97.5W,0.75
22.5S,92.5W,0.81
22.5S,87.5W,0.84
22.5S,82.5W,0.79
22.5S,77.5W,0.80
22.5S,72.5W,1.30
22.5S,67.5W,1.58
22.5S,62.5W,2.40
22.5S,57.5W,2.39
22.5S,52.5W,1.52
22.5S,47.5W,0.81
22.5S,42.5W,0.51
22.5S,37.5W,0.15
22.5S,32.5W,0.18
22.5S,27.5W,0.23
22.5S,22.5W,0.13
22.5S,17.5W,0.16
22.5S,12.5W,0.19
22.5S,7.5W,0.22
22.5S,2.5W,0.20
17.5S,2.5E,0.16
17.5S,7.5E,0.14
17.5S,12.5E,0.37
17.5S,17.5E,-0.43
17.5S,22.5E,0.11
17.5S,27.5E,0.32
17.5S,32.5E,0.11
17.5S,37.5E,0.46
17.5S,42.5E,0.69
17.5S,47.5E,0.70
17.5S,52.5E,0.48
17.5S,57.5E,0.43
17.5S,62.5E,0.53
17.5S,67.5E,0.68
17.5S,72.5E,0.77
17.5S,77.5E,0.76
17.5S,82.5E,0.61
17.5S,87.5E,0.33
17.5S,92.5E,0.00
17.5S,97.5E,-0.37
17.5S,102.5E,-0.54
17.5S,107.5E,-0.58
17.5S,112.5E,-0.60
17.5S,117.5E,-0.63
17.5S,122.5E,-0.48
17.5S,127.5E,-0.41
17.5S,132.5E,-0.59
17.5S,137.5E,0.29
17.5S,142.5E,0.96
17.5S,147.5E,0.91
17.5S,152.5E,0.70
17.5S,157.5E,0.58
17.5S,162.5E,0.51
17.5S,167.5E,0.40
17.5S,172.5E,0.44
17.5S,177.5E,0.38
17.5S,177.5W,0.47
17.5S,172.5W,0.28
17.5S,167.5W,0.25
17.5S,162.5W,0.30
17.5S,157.5W,0.26
17.5S,152.5W,0.33
17.5S,147.5W,0.32
17.5S,142.5W,0.27
17.5S,137.5W,0.26
17.5S,132.5W,0.32
17.5S,127.5W,0.39
17.5S,122.5W,0.46
17.5S,117.5W,0.49
17.5S,112.5W,0.52
17.5S,107.5W,0.54
17.5S,102.5W,0.57
17.5S,97.5W,0.63
17.5S,92.5W,0.74
17.5S,87.5W,0.81
17.5S,82.5W,1.04
17.5S,77.5W,1.51
17.5S,72.5W,1.78
17.5S,67.5W,2.16
17.5S,62.5W,2.02
17.5S,57.5W,2.20
17.5S,52.5W,1.57
17.5S,47.5W,1.01
17.5S,42.5W,0.75
17.5S,37.5W,0.49
17.5S,32.5W,0.35
17.5S,27.5W,0.27
17.5S,22.5W,0.20
17.5S,17.5W,0.22
17.5S,12.5W,0.27
17.5S,7.5W,0.28
17.5S,2.5W,0.29
12.5S,2.5E,0.33
12.5S,7.5E,0.35
12.5S,12.5E,0.26
12.5S,17.5E,0.46
12.5S,22.5E,0.79
12.5S,27.5E,0.57
12.5S,32.5E,0.54
12.5S,37.5E,0.35
12.5S,42.5E,0.53
12.5S,47.5E,0.46
12.5S,52.5E,0.39
12.5S,57.5E,0.45
12.5S,62.5E,0.48
12.5S,67.5E,0.58
12.5S,72.5E,0.59
12.5S,77.5E,0.50
12.5S,82.5E,0.37
12.5S,87.5E,0.14
12.5S,92.5E,-0.08
12.5S,97.5E,-0.19
12.5S,102.5E,-0.26
12.5S,107.5E,-0.17
12.5S,112.5E,-0.22
12.5S,117.5E,-0.22
12.5S,122.5E,-0.13
12.5S,127.5E,0.12
12.5S,132.5E,0.46
12.5S,137.5E,0.71
12.5S,142.5E,0.83
12.5S,147.5E,0.79
12.5S,152.5E,0.73
12.5S,157.5E,0.56
12.5S,162.5E,0.45
12.5S,167.5E,0.43
12.5S,172.5E,0.43
12.5S,177.5E,0.35
12.5S,177.5W,0.35
12.5S,172.5W,0.34
12.5S,167.5W,0.33
12.5S,162.5W,0.32
12.5S,157.5W,0.33
12.5S,152.5W,0.35
12.5S,147.5W,0.38
12.5S,142.5W,0.32
12.5S,137.5W,0.45
12.5S,132.5W,0.44
12.5S,127.5W,0.43
12.5S,122.5W,0.39
12.5S,117.5W,0.36
12.5S,112.5W,0.34
12.5S,107.5W,0.34
12.5S,102.5W,0.38
12.5S,97.5W,0.50
12.5S,92.5W,0.78
12.5S,87.5W,1.24
12.5S,82.5W,2.14
12.5S,77.5W,2.85
12.5S,72.5W,1.27
12.5S,67.5W,2.44
12.5S,62.5W,2.51
12.5S,57.5W,1.63
12.5S,52.5W,1.37
12.5S,47.5W,0.65
12.5S,42.5W,0.80
12.5S,37.5W,0.75
12.5S,32.5W,0.41
12.5S,27.5W,0.28
12.5S,22.5W,0.26
12.5S,17.5W,0.33
12.5S,12.5W,0.39
12.5S,7.5W,0.46
12.5S,2.5W,0.47
7.5S,2.5E,0.29
7.5S,7.5E,0.19
7.5S,12.5E,0.38
7.5S,17.5E,0.66
7.5S,22.5E,0.83
7.5S,27.5E,0.56
7.5S,32.5E,0.63
7.5S,37.5E,0.44
7.5S,42.5E,0.47
7.5S,47.5E,0.33
7.5S,52.5E,0.29
7.5S,57.5E,0.38
7.5S,62.5E,0.38
7.5S,67.5E,0.40
7.5S,72.5E,0.45
7.5S,77.5E,0.40
7.5S,82.5E,0.35
7.5S,87.5E,0.23
7.5S,92.5E,0.18
7.5S,97.5E,0.23
7.5S,102.5E,0.22
7.5S,107.5E,0.19
7.5S,112.5E,0.20
7.5S,117.5E,0.26
7.5S,122.5E,0.34
7.5S,127.5E,0.47
7.5S,132.5E,0.75
7.5S,137.5E,0.83
7.5S,142.5E,0.76
7.5S,147.5E,0.63
7.5S,152.5E,0.71
7.5S,157.5E,0.52
7.5S,162.5E,0.46
7.5S,167.5E,0.50
7.5S,172.5E,0.50
7.5S,177.5E,0.46
7.5S,177.5W,0.41
7.5S,172.5W,0.38
7.5S,167.5W,0.34
7.5S,162.5W,0.37
7.5S,157.5W,0.46
7.5S,152.5W,0.42
7.5S,147.5W,0.42
7.5S,142.5W,0.43
7.5S,137.5W,0.52
7.5S,132.5W,0.50
7.5S,127.5W,0.51
7.5S,122.5W,0.51
7.5S,117.5W,0.56
7.5S,112.5W,0.64
7.5S,107.5W,0.78
7.5S,102.5W,0.96
7.5S,97.5W,1.17
7.5S,92.5W,1.52
7.5S,87.5W,2.20
7.5S,82.5W,3.18
7.5S,77.5W,2.88
7.5S,72.5W,1.02
7.5S,67.5W,1.56
7.5S,62.5W,1.24
7.5S,57.5W,1.76
7.5S,52.5W,-0.06
7.5S,47.5W,0.06
7.5S,42.5W,0.86
7.5S,37.5W,0.67
7.5S,32.5W,0.45
7.5S,27.5W,0.30
7.5S,22.5W,0.31
7.5S,17.5W,0.40
7.5S,12.5W,0.45
7.5S,7.5W,0.53
7.5S,2.5W,0.49
2.5S,2.5E,0.23
2.5S,7.5E,0.06
2.5S,12.5E,1.03
2.5S,17.5E,1.08
2.5S,22.5E,0.72
2.5S,27.5E,0.67
2.5S,32.5E,0.82
2.5S,37.5E,0.66
2.5S,42.5E,0.44
2.5S,47.5E,0.28
2.5S,52.5E,0.23
2.5S,57.5E,0.34
2.5S,62.5E,0.33
2.5S,67.5E,0.36
2.5S,72.5E,0.38
2.5S,77.5E,0.38
2.5S,82.5E,0.38
2.5S,87.5E,0.31
2.5S,92.5E,0.29
2.5S,97.5E,0.37
2.5S,102.5E,0.47
2.5S,107.5E,0.18
2.5S,112.5E,0.49
2.5S,117.5E,0.33
2.5S,122.5E,0.45
2.5S,127.5E,0.60
2.5S,132.5E,0.67
2.5S,137.5E,0.66
2.5S,142.5E,0.44
2.5S,147.5E,0.49
2.5S,152.5E,0.55
2.5S,157.5E,0.61
2.5S,162.5E,0.64
2.5S,167.5E,0.68
2.5S,172.5E,0.69
2.5S,177.5E,0.64
2.5S,177.5W,0.54
2.5S,172.5W,0.52
2.5S,167.5W,0.55
2.5S,162.5W,0.67
2.5S,157.5W,0.82
2.5S,152.5W,0.97
2.5S,147.5W,1.03
2.5S,142.5W,1.08
2.5S,137.5W,1.07
2.5S,132.5W,1.08
2.5S,127.5W,1.14
2.5S,122.5W,1.27
2.5S,117.5W,1.41
2.5S,112.5W,1.60
2.5S,107.5W,1.86
2.5S,102.5W,2.21
2.5S,97.5W,2.50
2.5S,92.5W,2.80
2.5S,87.5W,3.08
2.5S,82.5W,2.98
2.5S,77.5W,2.19
2.5S,72.5W,0.63
2.5S,67.5W,0.76
2.5S,62.5W,1.08
2.5S,57.5W,1.06
2.5S,52.5W,0.22
2.5S,47.5W,0.78
2.5S,42.5W,0.40
2.5S,37.5W,0.42
2.5S,32.5W,0.37
2.5S,27.5W,0.33
2.5S,22.5W,0.35
2.5S,17.5W,0.43
2.5S,12.5W,0.45
2.5S,7.5W,0.43
2.5S,2.5W,0.39
2.5N,2.5E,0.59
2.5N,7.5E,0.48
2.5N,12.5E,0.94
2.5N,17.5E,0.53
2.5N,22.5E,0.69
2.5N,27.5E,0.71
2.5N,32.5E,0.88
2.5N,37.5E,1.02
2.5N,42.5E,0.66
2.5N,47.5E,0.41
2.5N,52.5E,0.27
2.5N,57.5E,0.33
2.5N,62.5E,0.40
2.5N,67.5E,0.42
2.5N,72.5E,0.37
2.5N,77.5E,0.35
2.5N,82.5E,0.32
2.5N,87.5E,0.21
2.5N,92.5E,0.15
2.5N,97.5E,0.38
2.5N,102.5E,0.26
2.5N,107.5E,0.22
2.5N,112.5E,0.14
2.5N,117.5E,0.60
2.5N,122.5E,0.31
2.5N,127.5E,0.36
2.5N,132.5E,0.36
2.5N,137.5E,0.35
2.5N,142.5E,0.38
2.5N,147.5E,0.37
2.5N,152.5E,0.40
2.5N,157.5E,0.50
2.5N,162.5E,0.58
2.5N,167.5E,0.62
2.5N,172.5E,0.58
2.5N,177.5E,0.54
2.5N,177.5W,0.55
2.5N,172.5W,0.56
2.5N,167.5W,0.58
2.5N,162.5W,0.73
2.5N,157.5W,0.89
2.5N,152.5W,1.03
2.5N,147.5W,1.11
2.5N,142.5W,1.18
2.5N,137.5W,1.21
2.5N,132.5W,1.18
2.5N,127.5W,1.20
2.5N,122.5W,1.28
2.5N,117.5W,1.40
2.5N,112.5W,1.57
2.5N,107.5W,1.76
2.5N,102.5W,2.03
2.5N,97.5W,2.20
2.5N,92.5W,2.36
2.5N,87.5W,2.34
2.5N,82.5W,1.78
2.5N,77.5W,1.37
2.5N,72.5W,0.78
2.5N,67.5W,0.67
2.5N,62.5W,0.95
2.5N,57.5W,1.79
2.5N,52.5W,0.78
2.5N,47.5W,0.39
2.5N,42.5W,0.48
2.5N,37.5W,0.50
2.5N,32.5W,0.51
2.5N,27.5W,0.45
2.5N,22.5W,0.36
2.5N,17.5W,0.36
2.5N,12.5W,0.43
2.5N,7.5W,0.56
2.5N,2.5W,0.60
7.5N,2.5E,1.05
7.5N,7.5E,0.77
7.5N,12.5E,0.93
7.5N,17.5E,0.91
7.5N,22.5E,1.00
7.5N,27.5E,0.89
7.5N,32.5E,1.24
7.5N,37.5E,0.98
7.5N,42.5E,0.96
7.5N,47.5E,0.81
7.5N,52.5E,0.36
7.5N,57.5E,0.42
7.5N,62.5E,0.48
7.5N,67.5E,0.51
7.5N,72.5E,0.44
7.5N,77.5E,0.38
7.5N,82.5E,0.37
7.5N,87.5E,0.18
7.5N,92.5E,0.10
7.5N,97.5E,0.21
7.5N,102.5E,0.28
7.5N,107.5E,0.30
7.5N,112.5E,0.17
7.5N,117.5E,0.05
7.5N,122.5E,0.09
7.5N,127.5E,0.20
7.5N,132.5E,0.30
7.5N,137.5E,0.38
7.5N,142.5E,0.26
7.5N,147.5E,0.17
7.5N,152.5E,0.20
7.5N,157.5E,0.25
7.5N,162.5E,0.23
7.5N,167.5E,0.27
7.5N,172.5E,0.29
7.5N,177.5E,0.25
7.5N,177.5W,0.24
7.5N,172.5W,0.19
7.5N,167.5W,0.11
7.5N,162.5W,0.11
7.5N,157.5W,0.19
7.5N,152.5W,0.28
7.5N,147.5W,0.32
7.5N,142.5W,0.35
7.5N,137.5W,0.37
7.5N,132.5W,0.38
7.5N,127.5W,0.45
7.5N,122.5W,0.53
7.5N,117.5W,0.58
7.5N,112.5W,0.66
7.5N,107.5W,0.75
7.5N,102.5W,0.83
7.5N,97.5W,0.88
7.5N,92.5W,1.14
7.5N,87.5W,1.48
7.5N,82.5W,1.14
7.5N,77.5W,0.88
7.5N,72.5W,1.13
7.5N,67.5W,1.12
7.5N,62.5W,1.47
7.5N,57.5W,0.82
7.5N,52.5W,0.55
7.5N,47.5W,0.69
7.5N,42.5W,0.84
7.5N,37.5W,0.81
7.5N,32.5W,0.84
7.5N,27.5W,0.90
7.5N,22.5W,0.87
7.5N,17.5W,0.82
7.5N,12.5W,0.71
7.5N,7.5W,1.09
7.5N,2.5W,0.84
12.5N,2.5E,1.08
12.5N,7.5E,0.78
12.5N,12.5E,1.43
12.5N,17.5E,1.01
12.5N,22.5E,1.29
12.5N,27.5E,1.37
12.5N,32.5E,1.31
12.5N,37.5E,1.07
12.5N,42.5E,0.99
12.5N,47.5E,0.77
12.5N,52.5E,0.48
12.5N,57.5E,0.44
12.5N,62.5E,0.49
12.5N,67.5E,0.55
12.5N,72.5E,0.48
12.5N,77.5E,0.46
12.5N,82.5E,0.31
12.5N,87.5E,0.14
12.5N,92.5E,0.04
12.5N,97.5E,0.23
12.5N,102.5E,0.61
12.5N,107.5E,0.53
12.5N,112.5E,0.33
12.5N,117.5E,0.01
12.5N,122.5E,0.01
12.5N,127.5E,0.12
12.5N,132.5E,0.19
12.5N,137.5E,0.32
12.5N,142.5E,0.24
12.5N,147.5E,0.16
12.5N,152.5E,0.15
12.5N,157.5E,0.17
12.5N,162.5E,0.20
12.5N,167.5E,0.23
12.5N,172.5E,0.27
12.5N,177.5E,0.27
12.5N,177.5W,0.24
12.5N,172.5W,0.12
12.5N,167.5W,-0.03
12.5N,162.5W,-0.09
12.5N,157.5W,-0.04
12.5N,152.5W,0.00
12.5N,147.5W,-0.04
12.5N,142.5W,-0.08
12.5N,137.5W,-0.15
12.5N,132.5W,-0.19
12.5N,127.5W,-0.12
12.5N,122.5W,0.05
12.5N,117.5W,0.13
12.5N,112.5W,0.22
12.5N,107.5W,0.45
12.5N,102.5W,0.57
12.5N,97.5W,0.81
12.5N,92.5W,0.93
12.5N,87.5W,1.23
12.5N,82.5W,0.80
12.5N,77.5W,0.56
12.5N,72.5W,0.67
12.5N,67.5W,0.71
12.5N,62.5W,0.83
12.5N,57.5W,0.87
12.5N,52.5W,0.98
12.5N,47.5W,1.08
12.5N,42.5W,1.23
12.5N,37.5W,1.29
12.5N,32.5W,1.30
12.5N,27.5W,1.41
12.5N,22.5W,1.55
12.5N,17.5W,1.57
12.5N,12.5W,0.81
12.5N,7.5W,1.17
12.5N,2.5W,1.05
17.5N,2.5E,0.66
17.5N,7.5E,0.91
17.5N,12.5E,0.87
17.5N,17.5E,0.76
17.5N,22.5E,1.23
17.5N,27.5E,1.12
17.5N,32.5E,0.94
17.5N,37.5E,0.98
17.5N,42.5E,1.11
17.5N,47.5E,1.26
17.5N,52.5E,0.72
17.5N,57.5E,0.47
17.5N,62.5E,0.51
17.5N,67.5E,0.52
17.5N,72.5E,0.31
17.5N,77.5E,-0.31
17.5N,82.5E,0.05
17.5N,87.5E,0.11
17.5N,92.5E,-0.11
17.5N,97.5E,1.12
17.5N,102.5E,1.03
17.5N,107.5E,1.12
17.5N,112.5E,0.85
17.5N,117.5E,0.27
17.5N,122.5E,0.10
17.5N,127.5E,-0.03
17.5N,132.5E,0.10
17.5N,137.5E,0.23
17.5N,142.5E,0.22
17.5N,147.5E,0.23
17.5N,152.5E,0.22
17.5N,157.5E,0.16
17.5N,162.5E,0.15
17.5N,167.5E,0.17
17.5N,172.5E,0.12
17.5N,177.5E,0.14
17.5N,177.5W,0.17
17.5N,172.5W,0.13
17.5N,167.5W,0.10
17.5N,162.5W,0.03
17.5N,157.5W,0.03
17.5N,152.5W,-0.17
17.5N,147.5W,-0.33
17.5N,142.5W,-0.48
17.5N,137.5W,-0.62
17.5N,132.5W,-0.66
17.5N,127.5W,-0.68
17.5N,122.5W,-0.54
17.5N,117.5W,-0.30
17.5N,112.5W,0.15
17.5N,107.5W,0.76
17.5N,102.5W,0.86
17.5N,97.5W,1.23
17.5N,92.5W,0.95
17.5N,87.5W,0.92
17.5N,82.5W,0.68
17.5N,77.5W,0.74
17.5N,72.5W,0.86
17.5N,67.5W,0.94
17.5N,62.5W,1.06
17.5N,57.5W,1.27
17.5N,52.5W,1.43
17.5N,47.5W,1.52
17.5N,42.5W,1.61
17.5N,37.5W,1.69
17.5N,32.5W,1.74
17.5N,27.5W,1.77
17.5N,22.5W,1.78
17.5N,17.5W,1.91
17.5N,12.5W,0.94
17.5N,7.5W,1.13
17.5N,2.5W,1.22
22.5N,2.5E,0.76
22.5N,7.5E,0.82
22.5N,12.5E,0.41
22.5N,17.5E,0.75
22.5N,22.5E,0.96
22.5N,27.5E,1.06
22.5N,32.5E,0.89
22.5N,37.5E,1.05
22.5N,42.5E,1.21
22.5N,47.5E,0.74
22.5N,52.5E,1.00
22.5N,57.5E,0.36
22.5N,62.5E,0.59
22.5N,67.5E,0.53
22.5N,72.5E,0.03
22.5N,77.5E,0.45
22.5N,82.5E,1.19
22.5N,87.5E,0.82
22.5N,92.5E,1.06
22.5N,97.5E,1.16
22.5N,102.5E,1.29
22.5N,107.5E,1.65
22.5N,112.5E,1.14
22.5N,117.5E,0.63
22.5N,122.5E,0.24
22.5N,127.5E,-0.01
22.5N,132.5E,0.11
22.5N,137.5E,0.29
22.5N,142.5E,0.31
22.5N,147.5E,0.33
22.5N,152.5E,0.35
22.5N,157.5E,0.26
22.5N,162.5E,0.16
22.5N,167.5E,-0.03
22.5N,172.5E,-0.22
22.5N,177.5E,-0.24
22.5N,177.5W,-0.12
22.5N,172.5W,-0.01
22.5N,167.5W,0.04
22.5N,162.5W,0.11
22.5N,157.5W,0.18
22.5N,152.5W,0.14
22.5N,147.5W,-0.09
22.5N,142.5W,-0.45
22.5N,137.5W,-0.78
22.5N,132.5W,-0.99
22.5N,127.5W,-1.10
22.5N,122.5W,-1.01
22.5N,117.5W,-0.65
22.5N,112.5W,0.39
22.5N,107.5W,1.23
22.5N,102.5W,1.90
22.5N,97.5W,1.20
22.5N,92.5W,1.12
22.5N,87.5W,0.91
22.5N,82.5W,1.00
22.5N,77.5W,0.99
22.5N,72.5W,0.97
22.5N,67.5W,1.01
22.5N,62.5W,1.09
22.5N,57.5W,1.17
22.5N,52.5W,1.24
22.5N,47.5W,1.36
22.5N,42.5W,1.58
22.5N,37.5W,1.75
22.5N,32.5W,1.86
22.5N,27.5W,1.90
22.5N,22.5W,1.84
22.5N,17.5W,1.57
22.5N,12.5W,1.07
22.5N,7.5W,1.68
22.5N,2.5W,1.40
27.5N,2.5E,1.32
27.5N,7.5E,1.58
27.5N,12.5E,1.55
27.5N,17.5E,1.67
27.5N,22.5E,1.83
27.5N,27.5E,1.47
27.5N,32.5E,1.06
27.5N,37.5E,0.90
27.5N,42.5E,0.85
27.5N,47.5E,0.97
27.5N,52.5E,1.09
27.5N,57.5E,0.73
27.5N,62.5E,0.77
27.5N,67.5E,-0.37
27.5N,72.5E,-0.38
27.5N,77.5E,-0.12
27.5N,82.5E,0.92
27.5N,87.5E,1.34
27.5N,92.5E,0.80
27.5N,97.5E,0.93
27.5N,102.5E,1.23
27.5N,107.5E,1.12
27.5N,112.5E,1.45
27.5N,117.5E,1.01
27.5N,122.5E,0.44
27.5N,127.5E,0.25
27.5N,132.5E,0.23
27.5N,137.5E,0.34
27.5N,142.5E,0.50
27.5N,147.5E,0.48
27.5N,152.5E,0.52
27.5N,157.5E,0.60
27.5N,162.5E,0.50
27.5N,167.5E,0.30
27.5N,172.5E,-0.04
27.5N,177.5E,-0.17
27.5N,177.5W,-0.14
27.5N,172.5W,0.00
27.5N,167.5W,0.28
27.5N,162.5W,0.56
27.5N,157.5W,0.66
27.5N,152.5W,0.71
27.5N,147.5W,0.60
27.5N,142.5W,0.23
27.5N,137.5W,-0.16
27.5N,132.5W,-0.51
27.5N,127.5W,-0.77
27.5N,122.5W,-1.02
27.5N,117.5W,-0.96
27.5N,112.5W,0.51
27.5N,107.5W,1.37
27.5N,102.5W,2.23
27.5N,97.5W,1.51
27.5N,92.5W,1.29
27.5N,87.5W,1.04
27.5N,82.5W,1.32
27.5N,77.5W,1.19
27.5N,72.5W,0.97
27.5N,67.5W,0.83
27.5N,62.5W,0.72
27.5N,57.5W,0.53
27.5N,52.5W,0.43
27.5N,47.5W,0.54
27.5N,42.5W,0.89
27.5N,37.5W,1.21
27.5N,32.5W,1.51
27.5N,27.5W,1.74
27.5N,22.5W,1.82
27.5N,17.5W,1.58
27.5N,12.5W,1.34
27.5N,7.5W,1.30
27.5N,2.5W,1.03
32.5N,2.5E,2.58
32.5N,7.5E,3.03
32.5N,12.5E,2.59
32.5N,17.5E,1.44
32.5N,22.5E,1.30
32.5N,27.5E,0.99
32.5N,32.5E,0.97
32.5N,37.5E,1.20
32.5N,42.5E,0.73
32.5N,47.5E,1.78
32.5N,52.5E,1.33
32.5N,57.5E,1.43
32.5N,62.5E,1.04
32.5N,67.5E,0.05
32.5N,72.5E,-0.76
32.5N,77.5E,-0.26
32.5N,82.5E,0.12
32.5N,87.5E,0.92
32.5N,92.5E,0.80
32.5N,97.5E,0.49
32.5N,102.5E,0.68
32.5N,107.5E,1.06
32.5N,112.5E,1.08
32.5N,117.5E,0.82
32.5N,122.5E,0.57
32.5N,127.5E,0.67
32.5N,132.5E,0.79
32.5N,137.5E,0.76
32.5N,142.5E,0.76
32.5N,147.5E,0.86
32.5N,152.5E,0.87
32.5N,157.5E,0.98
32.5N,162.5E,0.91
32.5N,167.5E,0.76
32.5N,172.5E,0.47
32.5N,177.5E,0.25
32.5N,177.5W,0.11
32.5N,172.5W,0.25
32.5N,167.5W,0.64
32.5N,162.5W,1.14
32.5N,157.5W,1.41
32.5N,152.5W,1.57
32.5N,147.5W,1.56
32.5N,142.5W,1.18
32.5N,137.5W,0.74
32.5N,132.5W,0.29
32.5N,127.5W,-0.20
32.5N,122.5W,-0.61
32.5N,117.5W,0.15
32.5N,112.5W,2.37
32.5N,107.5W,3.03
32.5N,102.5W,1.77
32.5N,97.5W,1.64
32.5N,92.5W,0.97
32.5N,87.5W,0.69
32.5N,82.5W,0.72
32.5N,77.5W,1.19
32.5N,72.5W,0.92
32.5N,67.5W,0.64
32.5N,62.5W,0.49
32.5N,57.5W,0.19
32.5N,52.5W,0.01
32.5N,47.5W,0.04
32.5N,42.5W,0.31
32.5N,37.5W,0.57
32.5N,32.5W,0.87
32.5N,27.5W,1.28
32.5N,22.5W,1.56
32.5N,17.5W,1.59
32.5N,12.5W,1.65
32.5N,7.5W,1.39
32.5N,2.5W,2.37
37.5N,2.5E,2.76
37.5N,7.5E,2.76
37.5N,12.5E,1.78
37.5N,17.5E,1.36
37.5N,22.5E,1.00
37.5N,27.5E,0.95
37.5N,32.5E,0.53
37.5N,37.5E,0.46
37.5N,42.5E,0.51
37.5N,47.5E,0.42
37.5N,52.5E,0.93
37.5N,57.5E,1.13
37.5N,62.5E,1.39
37.5N,67.5E,1.49
37.5N,72.5E,0.94
37.5N,77.5E,1.06
37.5N,82.5E,0.83
37.5N,87.5E,1.08
37.5N,92.5E,0.99
37.5N,97.5E,1.28
37.5N,102.5E,1.07
37.5N,107.5E,0.55
37.5N,112.5E,1.43
37.5N,117.5E,1.58
37.5N,122.5E,0.76
37.5N,127.5E,1.33
37.5N,132.5E,1.59
37.5N,137.5E,1.78
37.5N,142.5E,2.22
37.5N,147.5E,2.20
37.5N,152.5E,1.66
37.5N,157.5E,1.72
37.5N,162.5E,1.88
37.5N,167.5E,1.77
37.5N,172.5E,1.50
37.5N,177.5E,0.98
37.5N,177.5W,0.62
37.5N,172.5W,0.71
37.5N,167.5W,0.95
37.5N,162.5W,1.34
37.5N,157.5W,1.54
37.5N,152.5W,1.82
37.5N,147.5W,2.11
37.5N,142.5W,2.13
37.5N,137.5W,1.78
37.5N,132.5W,1.10
37.5N,127.5W,0.29
37.5N,122.5W,0.27
37.5N,117.5W,1.65
37.5N,112.5W,1.80
37.5N,107.5W,1.54
37.5N,102.5W,-0.15
37.5N,97.5W,-0.30
37.5N,92.5W,0.22
37.5N,87.5W,0.10
37.5N,82.5W,0.16
37.5N,77.5W,0.89
37.5N,72.5W,0.94
37.5N,67.5W,0.51
37.5N,62.5W,0.36
37.5N,57.5W,0.28
37.5N,52.5W,0.37
37.5N,47.5W,0.52
37.5N,42.5W,0.68
37.5N,37.5W,0.73
37.5N,32.5W,0.62
37.5N,27.5W,0.85
37.5N,22.5W,1.13
37.5N,17.5W,1.36
37.5N,12.5W,1.51
37.5N,7.5W,1.48
37.5N,2.5W,2.37
42.5N,2.5E,1.86
42.5N,7.5E,1.93
42.5N,12.5E,1.64
42.5N,17.5E,1.35
42.5N,22.5E,1.33
42.5N,27.5E,1.11
42.5N,32.5E,0.68
42.5N,37.5E,0.68
42.5N,42.5E,-0.04
42.5N,47.5E,0.47
42.5N,52.5E,0.71
42.5N,57.5E,1.19
42.5N,62.5E,1.51
42.5N,67.5E,2.19
42.5N,72.5E,2.16
42.5N,77.5E,2.23
42.5N,82.5E,1.62
42.5N,87.5E,1.47
42.5N,92.5E,1.51
42.5N,97.5E,1.25
42.5N,102.5E,0.50
42.5N,107.5E,0.50
42.5N,112.5E,0.57
42.5N,117.5E,1.33
42.5N,122.5E,1.07
42.5N,127.5E,1.39
42.5N,132.5E,1.75
42.5N,137.5E,1.65
42.5N,142.5E,2.26
42.5N,147.5E,2.05
42.5N,152.5E,1.90
42.5N,157.5E,2.29
42.5N,162.5E,2.34
42.5N,167.5E,1.90
42.5N,172.5E,1.64
42.5N,177.5E,1.39
42.5N,177.5W,1.25
42.5N,172.5W,1.14
42.5N,167.5W,0.87
42.5N,162.5W,0.87
42.5N,157.5W,1.03
42.5N,152.5W,1.39
42.5N,147.5W,1.92
42.5N,142.5W,2.40
42.5N,137.5W,2.52
42.5N,132.5W,1.84
42.5N,127.5W,0.58
42.5N,122.5W,0.97
42.5N,117.5W,1.38
42.5N,112.5W,1.07
42.5N,107.5W,0.05
42.5N,102.5W,-0.95
42.5N,97.5W,-1.09
42.5N,92.5W,-0.52
42.5N,87.5W,0.54
42.5N,82.5W,1.18
42.5N,77.5W,0.92
42.5N,72.5W,1.05
42.5N,67.5W,0.15
42.5N,62.5W,0.07
42.5N,57.5W,0.18
42.5N,52.5W,1.41
42.5N,47.5W,2.08
42.5N,42.5W,1.64
42.5N,37.5W,1.35
42.5N,32.5W,1.04
42.5N,27.5W,0.80
42.5N,22.5W,0.78
42.5N,17.5W,0.94
42.5N,12.5W,1.15
42.5N,7.5W,1.00
42.5N,2.5W,1.34
47.5N,2.5E,0.67
47.5N,7.5E,0.95
47.5N,12.5E,0.96
47.5N,17.5E,1.33
47.5N,22.5E,1.12
47.5N,27.5E,1.28
47.5N,32.5E,0.44
